"","ANO_IDEB","ANO_IDH","ANO_MATRICULA","ANO_REPASSE","CODIGO_MUNICIPIO","FAIXA_POP","IDEB_NOTA","IDHM","IDH_EDUCACAO","IDH_LONGEVIDADE","IDH_RENDA","MATRICULA","MUNICIPIO","PERIODO","POPULACAO","REDE","REGIAO","REPASSE_MATRICULA","UF","VALOR_REPASSADO_EDUCACAO"
"1","2013","2010","2011","2012","2900108","B",4.7,0.603,0.51,0.746,0.603,621,"Abaíra","FUNDAMENTAL_ANOS_INICIAIS",8681,"Pública","NORDESTE",3015.4690770934,"BA",1872606.296875
"2","2015","2010","2013","2014","2900108","B",5.2,0.603,0.51,0.746,0.603,550,"Abaíra","FUNDAMENTAL_ANOS_INICIAIS",8681,"Pública","NORDESTE",3151.03346590909,"BA",1733068.40625
"3","2017","2010","2015","2016","2900108","B",5.6,0.603,0.51,0.746,0.603,508,"Abaíra","FUNDAMENTAL_ANOS_INICIAIS",8681,"Pública","NORDESTE",4754.16117125984,"BA",2415113.875
"4","2019","2010","2017","2018","2900108","B",5.5,0.603,0.51,0.746,0.603,451,"Abaíra","FUNDAMENTAL_ANOS_INICIAIS",8681,"Pública","NORDESTE",4445.45500450388,"BA",2004900.20703125
"5","2013","2010","2011","2012","2900207","D",4.3,0.575,0.46,0.776,0.575,2064,"Abaré","FUNDAMENTAL_ANOS_INICIAIS",20594,"Pública","NORDESTE",3098.67151162791,"BA",6395658
"6","2015","2010","2013","2014","2900207","D",4.6,0.575,0.46,0.776,0.575,1882,"Abaré","FUNDAMENTAL_ANOS_INICIAIS",20594,"Pública","NORDESTE",3509.2688629118,"BA",6604444
"7","2017","2010","2015","2016","2900207","D",4.9,0.575,0.46,0.776,0.575,1805,"Abaré","FUNDAMENTAL_ANOS_INICIAIS",20594,"Pública","NORDESTE",4787.80664819945,"BA",8641991
"8","2019","2010","2017","2018","2900207","D",5.5,0.575,0.46,0.776,0.575,1848,"Abaré","FUNDAMENTAL_ANOS_INICIAIS",20594,"Pública","NORDESTE",4601.33766233766,"BA",8503272
"9","2013","2010","2011","2012","2900306","C",3.5,0.582,0.487,0.723,0.582,1925,"Acajutiba","FUNDAMENTAL_ANOS_INICIAIS",15214,"Pública","NORDESTE",1989.63792207792,"BA",3830053
"10","2015","2010","2013","2014","2900306","C",3.5,0.582,0.487,0.723,0.582,1658,"Acajutiba","FUNDAMENTAL_ANOS_INICIAIS",15214,"Pública","NORDESTE",2332.29191797346,"BA",3866940
"11","2017","2010","2015","2016","2900306","C",3.9,0.582,0.487,0.723,0.582,1575,"Acajutiba","FUNDAMENTAL_ANOS_INICIAIS",15214,"Pública","NORDESTE",3434.69206349206,"BA",5409640
"12","2019","2010","2017","2018","2900306","C",3.8,0.582,0.487,0.723,0.582,1493,"Acajutiba","FUNDAMENTAL_ANOS_INICIAIS",15214,"Pública","NORDESTE",4107.86202277294,"BA",6133038
"13","2013","2010","2011","2012","2900355","C",4.2,0.546,0.432,0.718,0.546,1682,"Adustina","FUNDAMENTAL_ANOS_INICIAIS",17209,"Pública","NORDESTE",2940.89179548157,"BA",4946580
"14","2015","2010","2013","2014","2900355","C",4.7,0.546,0.432,0.718,0.546,1488,"Adustina","FUNDAMENTAL_ANOS_INICIAIS",17209,"Pública","NORDESTE",3135.8810483871,"BA",4666191
"15","2017","2010","2015","2016","2900355","C",5.1,0.546,0.432,0.718,0.546,1383,"Adustina","FUNDAMENTAL_ANOS_INICIAIS",17209,"Pública","NORDESTE",4076.77151120752,"BA",5638175
"16","2019","2010","2017","2018","2900355","C",5,0.546,0.432,0.718,0.546,1190,"Adustina","FUNDAMENTAL_ANOS_INICIAIS",17209,"Pública","NORDESTE",4543.00420168067,"BA",5406175
"17","2013","2010","2011","2012","2900405","C",3.1,0.55,0.422,0.747,0.55,1873,"Água Fria","FUNDAMENTAL_ANOS_INICIAIS",17096,"Pública","NORDESTE",3220.83769353978,"BA",6032629
"18","2015","2010","2013","2014","2900405","C",3.4,0.55,0.422,0.747,0.55,1760,"Água Fria","FUNDAMENTAL_ANOS_INICIAIS",17096,"Pública","NORDESTE",3536.14659090909,"BA",6223618
"19","2017","2010","2015","2016","2900405","C",3.7,0.55,0.422,0.747,0.55,1601,"Água Fria","FUNDAMENTAL_ANOS_INICIAIS",17096,"Pública","NORDESTE",4610.94316052467,"BA",7382120
"20","2019","2010","2017","2018","2900405","C",4.2,0.55,0.422,0.747,0.55,1404,"Água Fria","FUNDAMENTAL_ANOS_INICIAIS",17096,"Pública","NORDESTE",4957.29985754986,"BA",6960049
"21","2015","2010","2013","2014","2900504","C",4.1,0.584,0.471,0.758,0.584,911,"Érico Cardoso","FUNDAMENTAL_ANOS_INICIAIS",10513,"Pública","NORDESTE",3625.00878155873,"BA",3302383
"22","2017","2010","2015","2016","2900504","C",4.2,0.584,0.471,0.758,0.584,779,"Érico Cardoso","FUNDAMENTAL_ANOS_INICIAIS",10513,"Pública","NORDESTE",5151.55712451861,"BA",4013063
"23","2019","2010","2017","2018","2900504","C",4.4,0.584,0.471,0.758,0.584,734,"Érico Cardoso","FUNDAMENTAL_ANOS_INICIAIS",10513,"Pública","NORDESTE",4908.69891008174,"BA",3602985
"24","2013","2010","2011","2012","2900603","A",3.2,0.583,0.471,0.733,0.583,500,"Aiquara","FUNDAMENTAL_ANOS_INICIAIS",4387,"Pública","NORDESTE",3395.060203125,"BA",1697530.1015625
"25","2015","2010","2013","2014","2900603","A",3.7,0.583,0.471,0.733,0.583,425,"Aiquara","FUNDAMENTAL_ANOS_INICIAIS",4387,"Pública","NORDESTE",3914.39674632353,"BA",1663618.6171875
"26","2017","2010","2015","2016","2900603","A",3.8,0.583,0.471,0.733,0.583,423,"Aiquara","FUNDAMENTAL_ANOS_INICIAIS",4387,"Pública","NORDESTE",4506.0572454935,"BA",1906062.21484375
"27","2019","2010","2017","2018","2900603","A",3.9,0.583,0.471,0.733,0.583,330,"Aiquara","FUNDAMENTAL_ANOS_INICIAIS",4387,"Pública","NORDESTE",5303.43183001894,"BA",1750132.50390625
"28","2015","2010","2013","2014","2900702","F",3.9,0.683,0.592,0.79,0.683,11898,"Alagoinhas","FUNDAMENTAL_ANOS_INICIAIS",153023,"Pública","NORDESTE",1824.22482770213,"BA",21704627
"29","2017","2010","2015","2016","2900702","F",4.2,0.683,0.592,0.79,0.683,11975,"Alagoinhas","FUNDAMENTAL_ANOS_INICIAIS",153023,"Pública","NORDESTE",2105.83348643006,"BA",25217356
"30","2019","2010","2017","2018","2900702","F",4.7,0.683,0.592,0.79,0.683,11867,"Alagoinhas","FUNDAMENTAL_ANOS_INICIAIS",153023,"Pública","NORDESTE",2203.50139041038,"BA",26148951
"31","2013","2010","2011","2012","2900801","D",4.4,0.608,0.476,0.771,0.608,2962,"Alcobaça","FUNDAMENTAL_ANOS_INICIAIS",22509,"Pública","NORDESTE",3075.66103983795,"BA",9110108
"32","2015","2010","2013","2014","2900801","D",4.9,0.608,0.476,0.771,0.608,2692,"Alcobaça","FUNDAMENTAL_ANOS_INICIAIS",22509,"Pública","NORDESTE",3335.64487369985,"BA",8979556
"33","2017","2010","2015","2016","2900801","D",4.8,0.608,0.476,0.771,0.608,2607,"Alcobaça","FUNDAMENTAL_ANOS_INICIAIS",22509,"Pública","NORDESTE",4841.91522823168,"BA",12622873
"34","2019","2010","2017","2018","2900801","D",5,0.608,0.476,0.771,0.608,2649,"Alcobaça","FUNDAMENTAL_ANOS_INICIAIS",22509,"Pública","NORDESTE",4289.48093620234,"BA",11362835
"35","2013","2010","2011","2012","2900900","B",3.2,0.563,0.421,0.751,0.563,586,"Almadina","FUNDAMENTAL_ANOS_INICIAIS",5273,"Pública","NORDESTE",3343.97576258532,"BA",1959569.796875
"36","2015","2010","2013","2014","2900900","B",4.1,0.563,0.421,0.751,0.563,456,"Almadina","FUNDAMENTAL_ANOS_INICIAIS",5273,"Pública","NORDESTE",4245.7341694079,"BA",1936054.78125
"37","2017","2010","2015","2016","2900900","B",3.4,0.563,0.421,0.751,0.563,489,"Almadina","FUNDAMENTAL_ANOS_INICIAIS",5273,"Pública","NORDESTE",4865.39345283742,"BA",2379177.3984375
"38","2019","2010","2017","2018","2900900","B",4.6,0.563,0.421,0.751,0.563,454,"Almadina","FUNDAMENTAL_ANOS_INICIAIS",5273,"Pública","NORDESTE",5264.01187362335,"BA",2389861.390625
"39","2013","2010","2011","2012","2901007","D",4.1,0.625,0.492,0.807,0.625,3798,"Amargosa","FUNDAMENTAL_ANOS_INICIAIS",37631,"Pública","NORDESTE",2050.49578725645,"BA",7787783
"40","2015","2010","2013","2014","2901007","D",4.4,0.625,0.492,0.807,0.625,3494,"Amargosa","FUNDAMENTAL_ANOS_INICIAIS",37631,"Pública","NORDESTE",2365.7770463652,"BA",8266025
"41","2017","2010","2015","2016","2901007","D",5,0.625,0.492,0.807,0.625,2982,"Amargosa","FUNDAMENTAL_ANOS_INICIAIS",37631,"Pública","NORDESTE",3042.47183098592,"BA",9072651
"42","2019","2010","2017","2018","2901007","D",5.3,0.625,0.492,0.807,0.625,2722,"Amargosa","FUNDAMENTAL_ANOS_INICIAIS",37631,"Pública","NORDESTE",3350.19838354151,"BA",9119240
"43","2013","2010","2011","2012","2901106","D",4,0.666,0.6,0.81,0.666,2555,"Amélia Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",24997,"Pública","NORDESTE",2349.01996086106,"BA",6001746
"44","2015","2010","2013","2014","2901106","D",4.4,0.666,0.6,0.81,0.666,2397,"Amélia Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",24997,"Pública","NORDESTE",2556.26491447643,"BA",6127367
"45","2017","2010","2015","2016","2901106","D",4.3,0.666,0.6,0.81,0.666,2108,"Amélia Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",24997,"Pública","NORDESTE",3955.5279886148,"BA",8338253
"46","2019","2010","2017","2018","2901106","D",4.6,0.666,0.6,0.81,0.666,2105,"Amélia Rodrigues","FUNDAMENTAL_ANOS_INICIAIS",24997,"Pública","NORDESTE",4048.55914489311,"BA",8522217
"47","2013","2010","2011","2012","2901155","C",4.3,0.561,0.464,0.751,0.561,1742,"América Dourada","FUNDAMENTAL_ANOS_INICIAIS",16086,"Pública","NORDESTE",3534.19058553387,"BA",6156560
"48","2015","2010","2013","2014","2901155","C",4.7,0.561,0.464,0.751,0.561,1541,"América Dourada","FUNDAMENTAL_ANOS_INICIAIS",16086,"Pública","NORDESTE",4188.31992212849,"BA",6454201
"49","2017","2010","2015","2016","2901155","C",4.9,0.561,0.464,0.751,0.561,1569,"América Dourada","FUNDAMENTAL_ANOS_INICIAIS",16086,"Pública","NORDESTE",5191.73996175908,"BA",8145840
"50","2019","2010","2017","2018","2901155","C",5.1,0.561,0.464,0.751,0.561,1479,"América Dourada","FUNDAMENTAL_ANOS_INICIAIS",16086,"Pública","NORDESTE",4931.92156862745,"BA",7294312
"51","2013","2010","2011","2012","2901205","D",3.9,0.54,0.371,0.771,0.54,2519,"Anagé","FUNDAMENTAL_ANOS_INICIAIS",21229,"Pública","NORDESTE",3024.31758634379,"BA",7618256
"52","2015","2010","2013","2014","2901205","D",3.9,0.54,0.371,0.771,0.54,2277,"Anagé","FUNDAMENTAL_ANOS_INICIAIS",21229,"Pública","NORDESTE",3417.22573561704,"BA",7781023
"53","2017","2010","2015","2016","2901205","D",4.6,0.54,0.371,0.771,0.54,2115,"Anagé","FUNDAMENTAL_ANOS_INICIAIS",21229,"Pública","NORDESTE",4644.70685579196,"BA",9823555
"54","2019","2010","2017","2018","2901205","D",4.9,0.54,0.371,0.771,0.54,1906,"Anagé","FUNDAMENTAL_ANOS_INICIAIS",21229,"Pública","NORDESTE",4590.22822665268,"BA",8748975
"55","2013","2010","2011","2012","2901304","C",3.9,0.555,0.415,0.764,0.555,1828,"Andaraí","FUNDAMENTAL_ANOS_INICIAIS",13122,"Pública","NORDESTE",2851.65700218818,"BA",5212829
"56","2015","2010","2013","2014","2901304","C",4.9,0.555,0.415,0.764,0.555,1462,"Andaraí","FUNDAMENTAL_ANOS_INICIAIS",13122,"Pública","NORDESTE",3765.22845417237,"BA",5504764
"57","2017","2010","2015","2016","2901304","C",5.7,0.555,0.415,0.764,0.555,1295,"Andaraí","FUNDAMENTAL_ANOS_INICIAIS",13122,"Pública","NORDESTE",5581.30888030888,"BA",7227795
"58","2019","2010","2017","2018","2901304","C",5.9,0.555,0.415,0.764,0.555,1284,"Andaraí","FUNDAMENTAL_ANOS_INICIAIS",13122,"Pública","NORDESTE",4853.67211838006,"BA",6232115
"59","2013","2010","2011","2012","2901353","C",3.8,0.588,0.474,0.731,0.588,1596,"Andorinha","FUNDAMENTAL_ANOS_INICIAIS",14416,"Pública","NORDESTE",3201.43546365915,"BA",5109491
"60","2015","2010","2013","2014","2901353","C",3.6,0.588,0.474,0.731,0.588,1442,"Andorinha","FUNDAMENTAL_ANOS_INICIAIS",14416,"Pública","NORDESTE",3596.48196948682,"BA",5186127
"61","2017","2010","2015","2016","2901353","C",4,0.588,0.474,0.731,0.588,1333,"Andorinha","FUNDAMENTAL_ANOS_INICIAIS",14416,"Pública","NORDESTE",4694.12903225806,"BA",6257274
"62","2019","2010","2017","2018","2901353","C",4.4,0.588,0.474,0.731,0.588,1299,"Andorinha","FUNDAMENTAL_ANOS_INICIAIS",14416,"Pública","NORDESTE",4789.89530408006,"BA",6222074
"63","2013","2010","2011","2012","2901403","C",3.7,0.625,0.556,0.778,0.625,1412,"Angical","FUNDAMENTAL_ANOS_INICIAIS",13902,"Pública","NORDESTE",3970.19900849858,"BA",5605921
"64","2015","2010","2013","2014","2901403","C",4.8,0.625,0.556,0.778,0.625,1253,"Angical","FUNDAMENTAL_ANOS_INICIAIS",13902,"Pública","NORDESTE",4378.62090981644,"BA",5486412
"65","2017","2010","2015","2016","2901403","C",4.6,0.625,0.556,0.778,0.625,1159,"Angical","FUNDAMENTAL_ANOS_INICIAIS",13902,"Pública","NORDESTE",5434.78429680759,"BA",6298915
"66","2019","2010","2017","2018","2901403","C",4.8,0.625,0.556,0.778,0.625,1106,"Angical","FUNDAMENTAL_ANOS_INICIAIS",13902,"Pública","NORDESTE",5228.13110307414,"BA",5782313
"67","2013","2010","2011","2012","2901502","C",4.2,0.589,0.471,0.766,0.589,837,"Anguera","FUNDAMENTAL_ANOS_INICIAIS",11369,"Pública","NORDESTE",3243.04181600956,"BA",2714426
"68","2015","2010","2013","2014","2901502","C",4.7,0.589,0.471,0.766,0.589,716,"Anguera","FUNDAMENTAL_ANOS_INICIAIS",11369,"Pública","NORDESTE",4120.89710631983,"BA",2950562.328125
"69","2017","2010","2015","2016","2901502","C",5,0.589,0.471,0.766,0.589,687,"Anguera","FUNDAMENTAL_ANOS_INICIAIS",11369,"Pública","NORDESTE",5335.06113537118,"BA",3665187
"70","2019","2010","2017","2018","2901502","C",4.5,0.589,0.471,0.766,0.589,691,"Anguera","FUNDAMENTAL_ANOS_INICIAIS",11369,"Pública","NORDESTE",5398.41244573083,"BA",3730303
"71","2013","2010","2011","2012","2901601","C",3.7,0.592,0.491,0.739,0.592,1091,"Antas","FUNDAMENTAL_ANOS_INICIAIS",19659,"Pública","NORDESTE",3591.06232813932,"BA",3917849
"72","2015","2010","2013","2014","2901601","C",3.8,0.592,0.491,0.739,0.592,1072,"Antas","FUNDAMENTAL_ANOS_INICIAIS",19659,"Pública","NORDESTE",3734.07742537313,"BA",4002931
"73","2017","2010","2015","2016","2901601","C",4,0.592,0.491,0.739,0.592,1026,"Antas","FUNDAMENTAL_ANOS_INICIAIS",19659,"Pública","NORDESTE",4799.07212475634,"BA",4923848
"74","2019","2010","2017","2018","2901601","C",4.4,0.592,0.491,0.739,0.592,918,"Antas","FUNDAMENTAL_ANOS_INICIAIS",19659,"Pública","NORDESTE",5461.20043572985,"BA",5013382
"75","2013","2010","2011","2012","2901700","C",3.4,0.561,0.422,0.768,0.561,1385,"Antônio Cardoso","FUNDAMENTAL_ANOS_INICIAIS",11670,"Pública","NORDESTE",3058.32490974729,"BA",4235780
"76","2015","2010","2013","2014","2901700","C",3.9,0.561,0.422,0.768,0.561,1289,"Antônio Cardoso","FUNDAMENTAL_ANOS_INICIAIS",11670,"Pública","NORDESTE",3285.49650892164,"BA",4235005
"77","2017","2010","2015","2016","2901700","C",4.1,0.561,0.422,0.768,0.561,1195,"Antônio Cardoso","FUNDAMENTAL_ANOS_INICIAIS",11670,"Pública","NORDESTE",4354.32970711297,"BA",5203424
"78","2013","2010","2011","2012","2901809","C",4.5,0.598,0.498,0.741,0.598,1045,"Antônio Gonçalves","FUNDAMENTAL_ANOS_INICIAIS",11955,"Pública","NORDESTE",3258.4019138756,"BA",3405030
"79","2015","2010","2013","2014","2901809","C",4.7,0.598,0.498,0.741,0.598,884,"Antônio Gonçalves","FUNDAMENTAL_ANOS_INICIAIS",11955,"Pública","NORDESTE",3970.88235294118,"BA",3510260
"80","2017","2010","2015","2016","2901809","C",5.1,0.598,0.498,0.741,0.598,818,"Antônio Gonçalves","FUNDAMENTAL_ANOS_INICIAIS",11955,"Pública","NORDESTE",6326.28850855746,"BA",5174904
"81","2019","2010","2017","2018","2901809","C",5.3,0.598,0.498,0.741,0.598,827,"Antônio Gonçalves","FUNDAMENTAL_ANOS_INICIAIS",11955,"Pública","NORDESTE",5503.95042321645,"BA",4551767
"82","2013","2010","2011","2012","2901908","C",3.1,0.548,0.425,0.751,0.548,2126,"Aporá","FUNDAMENTAL_ANOS_INICIAIS",17840,"Pública","NORDESTE",2780.41768579492,"BA",5911168
"83","2015","2010","2013","2014","2901908","C",3.7,0.548,0.425,0.751,0.548,1914,"Aporá","FUNDAMENTAL_ANOS_INICIAIS",17840,"Pública","NORDESTE",3176.65308254963,"BA",6080114
"84","2017","2010","2015","2016","2901908","C",3.4,0.548,0.425,0.751,0.548,1724,"Aporá","FUNDAMENTAL_ANOS_INICIAIS",17840,"Pública","NORDESTE",4136.71635730858,"BA",7131699
"85","2019","2010","2017","2018","2901908","C",3.3,0.548,0.425,0.751,0.548,1567,"Aporá","FUNDAMENTAL_ANOS_INICIAIS",17840,"Pública","NORDESTE",4364.07019783025,"BA",6838498
"86","2013","2010","2011","2012","2901957","B",4.2,0.552,0.413,0.735,0.552,952,"Apuarema","FUNDAMENTAL_ANOS_INICIAIS",7274,"Pública","NORDESTE",3265.22268907563,"BA",3108492
"87","2015","2010","2013","2014","2901957","B",4.1,0.552,0.413,0.735,0.552,790,"Apuarema","FUNDAMENTAL_ANOS_INICIAIS",7274,"Pública","NORDESTE",3991.35833662975,"BA",3153173.0859375
"88","2017","2010","2015","2016","2901957","B",3.9,0.552,0.413,0.735,0.552,704,"Apuarema","FUNDAMENTAL_ANOS_INICIAIS",7274,"Pública","NORDESTE",6338.17329545455,"BA",4462074
"89","2019","2010","2017","2018","2901957","B",4.2,0.552,0.413,0.735,0.552,626,"Apuarema","FUNDAMENTAL_ANOS_INICIAIS",7274,"Pública","NORDESTE",6538.75239616613,"BA",4093259
"90","2013","2010","2011","2012","2902005","C",4.1,0.581,0.439,0.754,0.581,1259,"Aracatu","FUNDAMENTAL_ANOS_INICIAIS",12960,"Pública","NORDESTE",3630.60127084988,"BA",4570927
"91","2015","2010","2013","2014","2902005","C",4.9,0.581,0.439,0.754,0.581,1160,"Aracatu","FUNDAMENTAL_ANOS_INICIAIS",12960,"Pública","NORDESTE",3807.60086206897,"BA",4416817
"92","2017","2010","2015","2016","2902005","C",4.5,0.581,0.439,0.754,0.581,1153,"Aracatu","FUNDAMENTAL_ANOS_INICIAIS",12960,"Pública","NORDESTE",5161.54900260191,"BA",5951266
"93","2019","2010","2017","2018","2902005","C",4.7,0.581,0.439,0.754,0.581,1029,"Aracatu","FUNDAMENTAL_ANOS_INICIAIS",12960,"Pública","NORDESTE",5259.83576287658,"BA",5412371
"94","2013","2010","2011","2012","2902054","C",4.3,0.57,0.462,0.744,0.57,1354,"Araçás","FUNDAMENTAL_ANOS_INICIAIS",12237,"Pública","NORDESTE",3381.38921713442,"BA",4578401
"95","2015","2010","2013","2014","2902054","C",3.8,0.57,0.462,0.744,0.57,1346,"Araçás","FUNDAMENTAL_ANOS_INICIAIS",12237,"Pública","NORDESTE",3715.5646359584,"BA",5001150
"96","2017","2010","2015","2016","2902054","C",4,0.57,0.462,0.744,0.57,1292,"Araçás","FUNDAMENTAL_ANOS_INICIAIS",12237,"Pública","NORDESTE",4841.89318885449,"BA",6255726
"97","2019","2010","2017","2018","2902054","C",4.5,0.57,0.462,0.744,0.57,1211,"Araçás","FUNDAMENTAL_ANOS_INICIAIS",12237,"Pública","NORDESTE",4415.29892650702,"BA",5346927
"98","2013","2010","2011","2012","2902104","E",3.2,0.534,0.381,0.747,0.534,9007,"Araci","FUNDAMENTAL_ANOS_INICIAIS",54903,"Pública","NORDESTE",2643.80237592983,"BA",23812728
"99","2015","2010","2013","2014","2902104","E",3.6,0.534,0.381,0.747,0.534,7851,"Araci","FUNDAMENTAL_ANOS_INICIAIS",54903,"Pública","NORDESTE",2920.04470768055,"BA",22925271
"100","2017","2010","2015","2016","2902104","E",3.5,0.534,0.381,0.747,0.534,6862,"Araci","FUNDAMENTAL_ANOS_INICIAIS",54903,"Pública","NORDESTE",4019.26741474789,"BA",27580213
"101","2019","2010","2017","2018","2902104","E",4.4,0.534,0.381,0.747,0.534,5833,"Araci","FUNDAMENTAL_ANOS_INICIAIS",54903,"Pública","NORDESTE",4183.36653523058,"BA",24401577
"102","2013","2010","2011","2012","2902203","C",4.1,0.588,0.47,0.761,0.588,946,"Aramari","FUNDAMENTAL_ANOS_INICIAIS",11519,"Pública","NORDESTE",2753.34355179704,"BA",2604663
"103","2015","2010","2013","2014","2902203","C",4.6,0.588,0.47,0.761,0.588,886,"Aramari","FUNDAMENTAL_ANOS_INICIAIS",11519,"Pública","NORDESTE",3439.39534248025,"BA",3047304.2734375
"104","2017","2010","2015","2016","2902203","C",4,0.588,0.47,0.761,0.588,805,"Aramari","FUNDAMENTAL_ANOS_INICIAIS",11519,"Pública","NORDESTE",4476.78260869565,"BA",3603810
"105","2019","2010","2017","2018","2902203","C",4.8,0.588,0.47,0.761,0.588,764,"Aramari","FUNDAMENTAL_ANOS_INICIAIS",11519,"Pública","NORDESTE",5303.97905759162,"BA",4052240
"106","2013","2010","2011","2012","2902252","C",2.9,0.559,0.413,0.758,0.559,1456,"Arataca","FUNDAMENTAL_ANOS_INICIAIS",10904,"Pública","NORDESTE",2976.64491758242,"BA",4333995
"107","2015","2010","2013","2014","2902252","C",3.7,0.559,0.413,0.758,0.559,1259,"Arataca","FUNDAMENTAL_ANOS_INICIAIS",10904,"Pública","NORDESTE",3421.17791898332,"BA",4307263
"108","2017","2010","2015","2016","2902252","C",3.4,0.559,0.413,0.758,0.559,1014,"Arataca","FUNDAMENTAL_ANOS_INICIAIS",10904,"Pública","NORDESTE",4841.39546351085,"BA",4909175
"109","2019","2010","2017","2018","2902252","C",3.7,0.559,0.413,0.758,0.559,982,"Arataca","FUNDAMENTAL_ANOS_INICIAIS",10904,"Pública","NORDESTE",4600.83095723014,"BA",4518016
"110","2013","2010","2011","2012","2902302","B",2.9,0.575,0.443,0.753,0.575,1167,"Aratuípe","FUNDAMENTAL_ANOS_INICIAIS",8848,"Pública","NORDESTE",2461.12767780634,"BA",2872136
"111","2015","2010","2013","2014","2902302","B",3.6,0.575,0.443,0.753,0.575,1107,"Aratuípe","FUNDAMENTAL_ANOS_INICIAIS",8848,"Pública","NORDESTE",2538.73502427733,"BA",2810379.671875
"112","2017","2010","2015","2016","2902302","B",3.8,0.575,0.443,0.753,0.575,981,"Aratuípe","FUNDAMENTAL_ANOS_INICIAIS",8848,"Pública","NORDESTE",3370.70844482671,"BA",3306664.984375
"113","2019","2010","2017","2018","2902302","B",3.3,0.575,0.443,0.753,0.575,866,"Aratuípe","FUNDAMENTAL_ANOS_INICIAIS",8848,"Pública","NORDESTE",3190.76987406178,"BA",2763206.7109375
"114","2013","2010","2011","2012","2902401","C",3.3,0.568,0.434,0.759,0.568,1393,"Aurelino Leal","FUNDAMENTAL_ANOS_INICIAIS",11079,"Pública","NORDESTE",3259.78391959799,"BA",4540879
"115","2015","2010","2013","2014","2902401","C",3.8,0.568,0.434,0.759,0.568,1254,"Aurelino Leal","FUNDAMENTAL_ANOS_INICIAIS",11079,"Pública","NORDESTE",3586.54385964912,"BA",4497526
"116","2017","2010","2015","2016","2902401","C",3.8,0.568,0.434,0.759,0.568,1289,"Aurelino Leal","FUNDAMENTAL_ANOS_INICIAIS",11079,"Pública","NORDESTE",4527.87897595035,"BA",5836436
"117","2019","2010","2017","2018","2902401","C",4.1,0.568,0.434,0.759,0.568,1243,"Aurelino Leal","FUNDAMENTAL_ANOS_INICIAIS",11079,"Pública","NORDESTE",4929.98551890587,"BA",6127972
"118","2013","2010","2011","2012","2902500","C",4.5,0.589,0.492,0.763,0.589,1308,"Baianópolis","FUNDAMENTAL_ANOS_INICIAIS",13979,"Pública","NORDESTE",3193.20107033639,"BA",4176707
"119","2015","2010","2013","2014","2902500","C",4.6,0.589,0.492,0.763,0.589,1296,"Baianópolis","FUNDAMENTAL_ANOS_INICIAIS",13979,"Pública","NORDESTE",3717.70061728395,"BA",4818140
"120","2017","2010","2015","2016","2902500","C",5.1,0.589,0.492,0.763,0.589,1356,"Baianópolis","FUNDAMENTAL_ANOS_INICIAIS",13979,"Pública","NORDESTE",4463.47271386431,"BA",6052469
"121","2019","2010","2017","2018","2902500","C",5,0.589,0.492,0.763,0.589,1335,"Baianópolis","FUNDAMENTAL_ANOS_INICIAIS",13979,"Pública","NORDESTE",4237.26891385768,"BA",5656754
"122","2013","2010","2011","2012","2902609","D",3.5,0.585,0.471,0.775,0.585,2195,"Baixa Grande","FUNDAMENTAL_ANOS_INICIAIS",20431,"Pública","NORDESTE",2894.55170842825,"BA",6353541
"123","2015","2010","2013","2014","2902609","D",4.3,0.585,0.471,0.775,0.585,2055,"Baixa Grande","FUNDAMENTAL_ANOS_INICIAIS",20431,"Pública","NORDESTE",3341.38832116788,"BA",6866553
"124","2017","2010","2015","2016","2902609","D",4.5,0.585,0.471,0.775,0.585,2001,"Baixa Grande","FUNDAMENTAL_ANOS_INICIAIS",20431,"Pública","NORDESTE",4070.7616191904,"BA",8145594
"125","2019","2010","2017","2018","2902609","D",4.8,0.585,0.471,0.775,0.585,1954,"Baixa Grande","FUNDAMENTAL_ANOS_INICIAIS",20431,"Pública","NORDESTE",4097.6954964176,"BA",8006897
"126","2013","2010","2011","2012","2902658","C",5.3,0.579,0.468,0.769,0.579,1674,"Banzaê","FUNDAMENTAL_ANOS_INICIAIS",13251,"Pública","NORDESTE",3142.55436081243,"BA",5260636
"127","2015","2010","2013","2014","2902658","C",4.2,0.579,0.468,0.769,0.579,1402,"Banzaê","FUNDAMENTAL_ANOS_INICIAIS",13251,"Pública","NORDESTE",3058.16761768902,"BA",4287551
"128","2017","2010","2015","2016","2902658","C",4.4,0.579,0.468,0.769,0.579,1327,"Banzaê","FUNDAMENTAL_ANOS_INICIAIS",13251,"Pública","NORDESTE",3754.64355689525,"BA",4982412
"129","2019","2010","2017","2018","2902658","C",5.5,0.579,0.468,0.769,0.579,1321,"Banzaê","FUNDAMENTAL_ANOS_INICIAIS",13251,"Pública","NORDESTE",3929.85162755488,"BA",5191334
"130","2013","2010","2011","2012","2902708","E",4,0.557,0.457,0.75,0.557,7334,"Barra","FUNDAMENTAL_ANOS_INICIAIS",54225,"Pública","NORDESTE",3110.77965639487,"BA",22814458
"131","2015","2010","2013","2014","2902708","E",4.4,0.557,0.457,0.75,0.557,6551,"Barra","FUNDAMENTAL_ANOS_INICIAIS",54225,"Pública","NORDESTE",3476.36498244543,"BA",22773667
